Date,Open,High,Low,Close,Adj Close,Volume
1/1/2010,84.209999,88.68,78.300003,78.349998,72.104439,57738500
2/1/2010,78.809998,84.980003,75.169998,84.760002,78.003502,56670400
3/1/2010,84.919998,93.660004,84.800003,93.400002,85.954765,90461400
4/1/2010,94.010002,97.75,89.43,90.010002,82.940269,56679600
5/1/2010,90.68,92.739998,78.290001,83.489998,76.932365,61829000
6/1/2010,82.489998,84.849998,69.980003,70.110001,64.603256,98253200
7/1/2010,70.709999,84.239998,69.779999,82.550003,76.178421,82039200
8/1/2010,83.900002,87.739998,77.25,78.050003,72.025726,56232100
9/1/2010,79.309998,88.459999,79.040001,85.5,78.900703,64270700
10/1/2010,86.410004,90.629997,84.739998,87.720001,81.068054,50043800
11/1/2010,87.690002,93.029999,84.489998,91.120003,84.210197,49585600
12/1/2010,93.239998,96.230003,91.279999,93.010002,86.077492,44562900
1/1/2011,93.540001,97,90.010002,90.32,83.587997,50949100
2/1/2011,92.75,98.519997,87.540001,90.019997,83.310349,58904800
3/1/2011,90.57,94.410004,85.029999,93.550003,86.577248,76921200
4/1/2011,95,96.5,90.660004,95.669998,88.660416,40628800
5/1/2011,96.25,96.889999,90.800003,93.639999,86.779152,44179300
6/1/2011,93.949997,94.949997,81.220001,94.849998,87.90049,63062400
7/1/2011,94.68,98.660004,86.330002,86.879997,80.634331,54486200
8/1/2011,88.050003,88.050003,72.160004,78.720001,73.060959,88179300
9/1/2011,78.720001,80.110001,64.550003,67.68,62.814594,77383000
10/1/2011,66.900002,85.75,64.07,81.830002,76.077042,66543700
11/1/2011,78.910004,83.449997,76.059998,83.080002,77.239159,43187300
12/1/2011,82.519997,86.370003,76.949997,83.510002,77.638924,56531600
1/1/2012,85.470001,93.519997,82.790001,91.489998,85.192207,43850000
2/1/2012,92.790001,97.190002,89.419998,89.989998,83.795433,43127800
3/1/2012,90.150002,96.889999,88.029999,91.959999,85.629845,52277100
4/1/2012,92.040001,92.849998,86.199997,88.239998,82.285072,38477600
5/1/2012,88.139999,91.43,84.860001,89.139999,83.124359,42157000
