Date,Open,High,Low,Close,Adj Close,Volume
2/1/2010,149.820007,160.210007,148.869995,156.350006,135.271942,231970100
3/1/2010,156.509995,178.729996,156.169998,170.630005,147.95787,240364800
4/1/2010,171.720001,186.410004,143.300003,145.199997,125.906769,533264800
5/1/2010,147.839996,152.350006,134.199997,144.259995,125.091675,370736300
6/1/2010,144.259995,146.399994,131.020004,131.270004,114.11245,232977100
7/1/2010,131.690002,153.410004,129.5,150.820007,131.107117,229090000
8/1/2010,152.820007,157.25,135.789993,136.929993,119.0326,135451900
9/1/2010,139.009995,154.699997,137.800003,144.580002,125.998314,140199700
10/1/2010,145.199997,163.789993,144.699997,161.130005,140.42128,141630000
11/1/2010,161.770004,171.610001,156.139999,156.139999,136.072571,119779000
12/1/2010,158.449997,171.229996,157,168.160004,146.870438,93645400
1/1/2011,170.550003,175.339996,160.119995,163.619995,142.905228,116535100
2/1/2011,163.860001,169.899994,161.320007,163.779999,143.045013,82986600
3/1/2011,163.550003,165.179993,153.259995,158.600006,138.815079,112097700
4/1/2011,159.770004,164.399994,149.550003,151.009995,132.171844,101954000
5/1/2011,152.199997,153.070007,133.639999,140.729996,123.174301,144717100
6/1/2011,139.949997,140,128.300003,133.089996,116.787315,135783900
7/1/2011,133.429993,139.25,125.5,134.970001,118.437042,113317000
8/1/2011,136.919998,137.339996,103.160004,116.220001,101.98381,230480100
9/1/2011,115.550003,115.550003,91.400002,94.550003,83.219154,166764200
10/1/2011,93.739998,118.07,84.269997,109.550003,96.421585,179485000
11/1/2011,103.489998,109.260002,87.599998,95.860001,84.3722,150193800
12/1/2011,94.580002,106.099998,86.900002,90.43,79.900955,158615200
1/1/2012,92.970001,112.5,92.419998,111.470001,98.491211,159706200
2/1/2012,112.610001,118.660004,111.400002,115.139999,101.733917,114450200
3/1/2012,115.970001,128.720001,113.110001,124.370003,110.22113,148682900
4/1/2012,124.139999,125.540001,110.07,115.150002,102.050049,118236700
5/1/2012,114.839996,116.480003,93.699997,95.699997,84.812759,121117300
6/1/2012,94.07,97.599998,90.43,95.860001,85.360634,104497000
7/1/2012,96.559998,102.18,91.150002,100.900002,89.848587,96498800
8/1/2012,101.269997,107.339996,96.720001,105.720001,94.140648,70895400
9/1/2012,105.550003,122.599998,105.540001,113.68,101.673729,91155600
10/1/2012,116.669998,126.480003,116.220001,122.389999,109.463837,96115200
11/1/2012,122.82,126.730003,113.839996,117.790001,105.349655,78473200
12/1/2012,118.419998,129.720001,115.620003,127.559998,114.571571,80380300
